title,pubDate,guid,link,description
Oscars 2022: 18 bitesize facts about this year's nominees,"Wed, 23 Mar 2022 00:28:02 GMT",https://www.bbc.co.uk/news/entertainment-arts-59984120,https://www.bbc.co.uk/news/entertainment-arts-59984120?at_medium=RSS&at_campaign=KARANGA,A round-up of quirky facts and possible record breakers ahead of Sunday's Academy Awards.
Heat pumps: How do they work and how do I get one?,"Tue, 22 Mar 2022 11:38:31 GMT",https://www.bbc.co.uk/news/science-environment-57159056,https://www.bbc.co.uk/news/science-environment-57159056?at_medium=RSS&at_campaign=KARANGA,The government's grant support scheme for replacing gas boilers with heat pumps begins in April.
The Russians trapped on a Thai island as war rages in Ukraine,"Wed, 23 Mar 2022 00:18:58 GMT",https://www.bbc.co.uk/news/world-asia-60818869,https://www.bbc.co.uk/news/world-asia-60818869?at_medium=RSS&at_campaign=KARANGA,"Thousands of Russian and Ukrainian tourists are stuck in Phuket, unable to go home."
When and where can I ride an e-scooter legally?,"Tue, 22 Mar 2022 15:02:04 GMT",https://www.bbc.co.uk/news/uk-48106617,https://www.bbc.co.uk/news/uk-48106617?at_medium=RSS&at_campaign=KARANGA,London is the latest UK city to trial e-scooters - which the government hopes will be a more environmentally-friendly way to travel.
Coronavirus: Where does the government borrow billions from?,"Tue, 22 Mar 2022 14:41:58 GMT",https://www.bbc.co.uk/news/business-50504151,https://www.bbc.co.uk/news/business-50504151?at_medium=RSS&at_campaign=KARANGA,"How does it work when a government wants to borrow money, and when does it have to pay it back?"
What are the UK's remaining Covid restrictions?,"Tue, 22 Mar 2022 13:18:20 GMT",https://www.bbc.co.uk/news/explainers-52530518,https://www.bbc.co.uk/news/explainers-52530518?at_medium=RSS&at_campaign=KARANGA,Almost all of the UK's Covid rules will have ended if Wales lifts restrictions as planned.
Liverpool and Manchester mayors want FA Cup semi-final switched from Wembley,"Tue, 22 Mar 2022 19:24:57 GMT",https://www.bbc.co.uk/sport/football/60842200,https://www.bbc.co.uk/sport/football/60842200?at_medium=RSS&at_campaign=KARANGA,"The FA Cup semi-final between Liverpool and Manchester City should be moved from Wembley, say the mayors of both cities."
Ricketts family offers to meet Chelsea fans amid criticism of potential ownership,"Tue, 22 Mar 2022 22:12:44 GMT",https://www.bbc.co.uk/sport/football/60830090,https://www.bbc.co.uk/sport/football/60830090?at_medium=RSS&at_campaign=KARANGA,"The Ricketts family, which is aiming to buy Chelsea, says it will meet fans to allay concerns about its potential ownership."
Rafael Nadal out for up to six weeks with rib injury,"Tue, 22 Mar 2022 15:13:43 GMT",https://www.bbc.co.uk/sport/tennis/60817261,https://www.bbc.co.uk/sport/tennis/60817261?at_medium=RSS&at_campaign=KARANGA,"Rafael Nadal is ruled out for between four and six weeks because of a stress fracture of the rib, with the French Open starting on 22 May."
Roy given suspended two-match ban and fine after ECB hearing,"Tue, 22 Mar 2022 16:26:54 GMT",https://www.bbc.co.uk/sport/cricket/60839423,https://www.bbc.co.uk/sport/cricket/60839423?at_medium=RSS&at_campaign=KARANGA,"England batter Jason Roy receives a suspended two-match international ban and is fined £2,500 following a disciplinary hearing."
